ID,Category,Requirement,Status,File:Line,Evidence,Reason
1,Beginner OOP API,AetherML("sales.csv") constructor,DONE,sdk.py:254-268,__init__(self data_path: str config=None) with lazy engine/agent init,Fully implemented
2,Beginner OOP API,ml.load() method,DONE,sdk.py:366-376,Returns self; runs _UPLOAD stages,Fully implemented
3,Beginner OOP API,ml.summary() method,DONE,sdk.py:378-409,Returns DatasetSummary dataclass with rows/columns/dtypes/memory/missing/duplicates/preview,Fully implemented
4,Beginner OOP API,ml.clean() method,DONE,sdk.py:411-439,Accepts null_strategy/fill_value/encode; returns self for chaining,Fully implemented
5,Beginner OOP API,ml.validate() method,DONE,sdk.py:441-467,Returns ValidationReport dataclass with pass/fail/nulls/duplicates,Fully implemented
6,Beginner OOP API,ml.profile() method,DONE,sdk.py:469-495,Alias for summary() with EDA enrichment; returns DatasetSummary,Fully implemented
7,Beginner OOP API,ml.eda() method,DONE,sdk.py:497-519,Returns EDAReport dataclass with numeric/categorical summaries,Fully implemented
8,Beginner OOP API,ml.detect_target() method,DONE,sdk.py:521-543,Accepts target_hint; returns TargetInfo dataclass,Fully implemented
9,Beginner OOP API,ml.engineer_features() method,DONE,sdk.py:545-567,Returns FeatureReport dataclass with feature names and DataFrame,Fully implemented
10,Beginner OOP API,ml.recommend_model() method,DONE,sdk.py:569-590,Returns ModelInfo dataclass with model type/score/candidates,Fully implemented
11,Beginner OOP API,ml.train() method,DONE,sdk.py:592-600,Alias for recommend_model(); returns ModelInfo,Fully implemented
12,Beginner OOP API,ml.evaluate() method,DONE,sdk.py:602-627,Returns EvaluationMetrics with accuracy/precision/recall/F1/RMSE/MAE/R2,Fully implemented
13,Beginner OOP API,ml.explain() method,DONE,sdk.py:629-646,Returns ExplanationReport with SHAP feature importance,Fully implemented
14,Beginner OOP API,ml.report() method,DONE,sdk.py:648-661,Returns Markdown string; accepts optional narrative,Fully implemented
15,Beginner OOP API,ml.run() method,DONE,sdk.py:663-681,Runs all 11 stages; returns self for chaining,Fully implemented
16,Simple Function API,analyze() / analyze_async(),DONE,simple.py:466-512,Sync at 466 async at 500; returns DatasetProfile,Fully implemented
17,Simple Function API,clean() / clean_async(),DONE,simple.py:515-554,Sync at 515 async at 542; returns CleanResult,Fully implemented
18,Simple Function API,validate() / validate_async(),DONE,simple.py:557-597,Sync at 557 async at 585; returns ValidationResult,Fully implemented
19,Simple Function API,detect_target() / detect_target_async(),DONE,simple.py:600-641,Sync at 600 async at 629; returns TargetResult,Fully implemented
20,Simple Function API,engineer() / engineer_async(),DONE,simple.py:644-707,Sync at 644 async at 686; returns FeatureResult,Fully implemented
21,Simple Function API,select_model() / select_model_async(),DONE,simple.py:710-773,Sync at 710 async at 752; returns ModelResult,Fully implemented
22,Simple Function API,explain() / explain_async(),DONE,simple.py:776-841,Sync at 776 async at 820; returns ExplainResult,Fully implemented
23,Simple Function API,report() / report_async(),DONE,simple.py:844-906,Sync at 844 async at 885; returns str (Markdown),Design choice: report is inherently a Markdown string
24,Simple Function API,train() / train_async(),DONE,simple.py:909-975,Sync at 909 async at 954; returns TrainResult,Fully implemented
25,Return Types (sdk.py),DatasetSummary dataclass,DONE,sdk.py:36-54,Frozen dataclass with rows/columns/dtypes/memory/missing/duplicates/preview + memory_mb property,Fully implemented
26,Return Types (sdk.py),ValidationReport dataclass,DONE,sdk.py:57-68,Frozen dataclass with passed/rows/columns/null_counts/null_columns/empty_columns/duplicates/raw,Fully implemented
27,Return Types (sdk.py),EDAReport dataclass,DONE,sdk.py:71-81,Frozen dataclass with shape/numeric_cols/categorical_cols/numeric_summary/categorical_summary/memory/raw,Fully implemented
